"LemmeID"	"Frequence"	"Token"	"POS"	"Lemme"	"Statut"	"Commentaire"	"ASCF"	"ProposedBy"	"CheckedBy"	"LastUpdate"	"ID"	"Validated"
"32792"	"8668"	"central"	"ADJ"	"central"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"155"	"FALSE"
"32793"	"8631"	"longue"	"ADJ"	"longue"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"156"	"FALSE"
"32794"	"8606"	"rapide"	"ADJ"	"rapide"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"157"	"FALSE"
"32795"	"8590"	"rouge"	"ADJ"	"rouge"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"158"	"FALSE"
"32796"	"8580"	"immobilier"	"ADJ"	"immobilier"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"159"	"FALSE"
"32797"	"8572"	"large"	"ADJ"	"large"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"160"	"FALSE"
"32798"	"8406"	"spécial"	"ADJ"	"spécial"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"161"	"FALSE"
"32799"	"8303"	"utile"	"ADJ"	"utile"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"162"	"FALSE"
"32800"	"8240"	"mauvais"	"ADJ"	"mauvais"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"163"	"FALSE"
"32801"	"8239"	"sauf"	"ADJ"	"sauf"	"AV"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"164"	"FALSE"
"32802"	"8096"	"vieil"	"ADJ"	"vieux"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"165"	"FALSE"
"32803"	"8096"	"faible"	"ADJ"	"faible"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"166"	"FALSE"
"32804"	"8003"	"entier"	"ADJ"	"entier"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"167"	"FALSE"
"32805"	"8002"	"sportif"	"ADJ"	"sportif"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"168"	"FALSE"
"32806"	"7999"	"Lecteur"	"ADJ"	"lecteur"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"169"	"FALSE"
"32807"	"7988"	"Troisième"	"ADJ"	"troisième"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"170"	"FALSE"
"32808"	"7952"	"dynamique"	"ADJ"	"dynamique"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"171"	"FALSE"
"32809"	"7935"	"majeur"	"ADJ"	"majeur"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"172"	"FALSE"
"32810"	"7867"	"contraire"	"ADJ"	"contraire"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"173"	"FALSE"
"32811"	"7835"	"cher"	"ADJ"	"cher"			"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"174"	"FALSE"
"32812"	"7833"	"départemental"	"ADJ"	"départemental"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"175"	"FALSE"
"32813"	"7815"	"feu"	"ADJ"	"feu"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"176"	"FALSE"
"32814"	"7777"	"global"	"ADJ"	"global"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"177"	"FALSE"
"32815"	"7770"	"double"	"ADJ"	"double"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"178"	"FALSE"
"32816"	"7749"	"patient"	"ADJ"	"patient"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"179"	"FALSE"
"32817"	"7720"	"capital"	"ADJ"	"capital"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"180"	"FALSE"
"32818"	"7673"	"privé"	"ADJ"	"privé"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"181"	"FALSE"
"32819"	"7646"	"original"	"ADJ"	"original"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"182"	"FALSE"
