"provincial"	"provincialité"
"proche"	"proximité"
"précaire"	"précarité"
"précieux"	"préciosité"
"précipitable"	"précipitabilité"
"précoce"	"précocité"
"prématuré"	"prématurité"
"présidial"	"présidialité"
"prévisible"	"prévisibilité"
"psychomoteur"	"psychomotricité"
"public"	"publicité"
"pudique"	"pudicité"
"puerpéral"	"puerpéralité"
"pugnace"	"pugnacité"
"pupillaire"	"pupillarité"
"pusillanime"	"pusillanimité"
"putrescible"	"putrescibilité"
"putride"	"putridité"
"puéril"	"puérilité"
"pénal"	"pénalité"
"pénible"	"pénibilité"
"pénétrable"	"pénétrabilité"
"pérenne"	"pérennité"
"périnatal"	"périnatalité"
"périodique"	"périodicité"
"quinquennal"	"quinquennalité"
"rapide"	"rapidité"
"rationnel"	"rationalité"
"rauque"	"raucité"
"recevable"	"recevabilité"
"rectangulaire"	"rectangularité"
"relatif"	"relativité"
"religieux"	"religiosité"
"rentable"	"rentabilité"
"reproductible"	"reproductibilité"
"reproductif"	"reproductivité"
"représentatif"	"représentativité"
"reptile"	"reptilité"
"respectable"	"respectabilité"
"respirable"	"respirabilité"
"responsable"	"responsabilité"
"ridicule"	"ridiculité"
"rigide"	"rigidité"
"rival"	"rivalité"
"romain"	"romanité"
"rond"	"rotondité"
"rugueux"	"rugosité"
"rural"	"ruralité"
"rustique"	"rusticité"
"rythmique"	"rythmicité"
"réactif"	"réactivité"
"réel"	"réalité"
"réceptible"	"réceptibilité"
"receptif"	"réceptivité"
"récessif"	"récessivité"
"réciproque"	"réciprocité"
"récursif"	"récursivité"
"réductible"	"réductibilité"
"réflectif"	"réflectivité"
"reflexible"	"réflexibilité"
"réflexif"	"réflexivité"
"réfractif"	"réfractivité"
"réfutable"	"réfutabilité"
"régulier"	"régularité"
"rémissible"	"rémissibilité"
"répercussif"	"répercussivité"
"répétitif"	"répétitivité"
"résistible"	"résistibilité"
"résistif"	"résistivité"
"résoluble"	"résolubilité"
"rétentif"	"rétentivité"
"rétif"	"rétivité"
"rétractible"	"rétractibilité"
"rétractile"	"rétractilité"
"rétroactif"	"rétroactivité"
"réversible"	"réversibilité"
"révisible"	"révisibilité"
"révocable"	"révocabilité"
"rééligible"	"rééligibilité"
"sacral"	"sacralité"
"sacramental"	"sacramentalité"
"sagace"	"sagacité"
"salace"	"salacité"
"salin"	"salinité"
"salubre"	"salubrité"
"sapide"	"sapidité"
"saturable"	"saturabilité"
"saugrenu"	"saugrenuité"
"schisteux"	"schistosité"
"scientifique"	"scientificité"
"scissipare"	"scissiparité"
"scolaire"	"scolarité"
"scrupuleux"	"scrupulosité"
"secondaire"	"secondarité"
"sensible"	"sensibilité"
"sensitif"	"sensitivité"
"sensoriel"	"sensorialité"
"sensuel"	"sensualité"
"sentimental"	"sentimentalité"
"septennal"	"septennalité"
"septique"	"septicité"
"serviable"	"serviabilité"
"servile"	"servilité"
"sexennal"	"sexennalité"
"sexuel"	"sexualité"
"siccatif"	"siccativité"
"similaire"	"similarité"
"simple"	"simplicité"
"simultané"	"simultanéité"
"sincère"	"sincérité"
"singulier"	"singularité"
"sinistre"	"sinistralité"
"chinois"	"sinité"
"sinueux"	"sinuosité"
