"ID"	"V"	"FRWAC_VFREQ"	"VTerminaison"	"CandidatN"	"NisPredicative"	"FRWAC_NFREQ"	"Source"	"CheckedBy"	"LastRevision"	"Validated"	"Commentaire"
9315	"lier"	16271	"-er"	"liaison"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:43:56"	"TRUE"	
9318	"lier"	16271	"-er"	"lieur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:44:46"	"TRUE"	
9317	"lier"	16271	"-er"	"lieuse"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:44:27"	"TRUE"	
9321	"lier"	16271	"-er"	"liure"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:45:06"	"TRUE"	"vieilli"
6176	"envoyer"	16101	"-er"	"envoi"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:45:45"	"TRUE"	
6177	"envoyer"	16101	"-er"	"envoyeur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:45:33"	"TRUE"	
352	"aider"	16072	"-er"	"aide"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
3262	"continuer"	15994	"-er"	"continuateur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:46:21"	"TRUE"	
3261	"continuer"	15994	"-er"	"continuation"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
13509	"servir"	15894	"-er"	"service"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:48:53"	"TRUE"	
5922	"engager"	15689	"-er"	"engagement"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:49:30"	"TRUE"	
3208	"considérer"	15110	"-er"	"considération"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
2538	"charger"	14985	"-er"	"charge"	"FALSE"	21146	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
3000011	"charger"	14985	"-er"	"chargement"	"TRUE"	21146	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 12:58:12"	"TRUE"	
4265	"définir"	14924	"-ir"	"définition"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:51:30"	"TRUE"	
4042	"décider"	14705	"-er"	"décideur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:50:57"	"TRUE"	
4043	"décider"	14705	"-er"	"décision"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:51:11"	"TRUE"	
2506	"changer"	14634	"-er"	"change"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
3000009	"changer"	14634	"-er"	"changement"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 12:55:51"	"TRUE"	
9182	"lancer"	14392	"-er"	"lance"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
9180	"lancer"	14392	"-er"	"lancée"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
