"ID"	"V"	"FRWAC_VFREQ"	"VTerminaison"	"CandidatN"	"FRWAC_NFREQ"	"Source"	"CheckedBy"	"LastRevision"	"Validated"	"Commentaire"
"10273"	"noter"	"14129"	"-er"	"notation"	"7760"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:52:39"	"TRUE"	
"10274"	"noter"	"14129"	"-er"	"note"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"10275"	"noter"	"14129"	"-er"	"notage"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"10277"	"noter"	"14129"	"-er"	"notateur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:53:20"	"TRUE"	
"2838"	"cliquer"	"14123"	"-er"	"clic"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:53:55"	"TRUE"	
"6384"	"expliquer"	"13998"	"-er"	"explication"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:53:33"	"TRUE"	
"183"	"adapter"	"13862"	"-er"	"adaptation"	"4202"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"184"	"adapter"	"13862"	"-er"	"adaptateur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:54:08"	"TRUE"	
"3000002"	"adapter"	"13862"	"-er"	"adaptation"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 12:27:22"	"TRUE"	
"12020"	"rappeler"	"13260"	"-er"	"rappel"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:54:22"	"TRUE"	
"3249"	"contenir"	"13027"	"-er"	"contention"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"7447"	"fixer"	"13000"	"-er"	"fixateur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:54:34"	"TRUE"	
"7448"	"fixer"	"13000"	"-er"	"fixage"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
